Funding_per_contributor,Funding_per_milestone,Status_numeric,average_milestone_duration,average_milestone_duration_days,milestone_days_duration,first_milestone_date,funding_duration_days,last_funding_date,first_funding_date,Is Duplicate Row?,Status,years_from_first_to_last_milestone,last_milestone_date,amount_milestones,Funding_total_size,Fundingrounds,Fundingtotal,LocalCode:42,Name,state,city,zip_code_no_null,latitude,longitude,OfficeAddress_no_null,FoundingDate,closedDate,acquiredDate,BusinessField,NumContributors,NumPartners,company_id_corrected
8150000,8150000,1,2,548,2,01.01.2011,386,09.09.2011,28.02.2011,Unique,Successful (Acquired),1,02.07.2012,2,Medium-High (10M+),2,16300000,1019,DynamicOps,MA,Burlington,1803,"42,504817","-71,195611",Burlington MA 1803,01.01.2008,,07.04.2019,enterprise,2,6,69834
3100000,1550000,1,4,2324,4,01.08.2006,0,01.01.2005,01.01.2005,Unique,Successful (Acquired),6,11.12.2012,4,Medium (2M+),1,6200000,330,Wink,CA,Mountain View,94041,"37,40047","-122,072981",Unknown,19.08.2004,,06.06.2015,search,2,5,197
6750000,0,1,,,,,1662,16.09.2008,08.06.2006,Unique,Successful (Acquired),,,,Medium-High (10M+),2,13500000,1042,Ounce Labs,MA,Waltham,2451,"42,393662","-71,255855",Unknown,01.10.2002,,01.06.2018,software,2,7,7376
2000000,1000000,1,2,298,2,01.01.2011,820,01.08.2011,17.06.2010,Unique,Successful (Acquired),0,26.10.2011,2,Medium (2M+),2,2000000,851,Clever Sense,CA,Mountain View,94043,"37,406914","-122,09037",Mountain View CA 94043,11.04.2008,,24.07.2018,web,1,6,50076
6250000,0,1,,,,,0,08.02.2007,08.02.2007,Unique,Successful (Acquired),,,,Medium-High (10M+),1,25000000,439,Axiom Microdevices,CA,Irvine,92618,"33,685697","-117,825982",Irvine CA 92618,01.01.2002,,03.11.2016,semiconductor,4,3,25713
5500000,0,0,,,,,0,01.10.2006,01.10.2006,Unique,Failed,,,,Medium (2M+),1,5500000,590,TalkPlus,CA,San Mateo,94402,"37,553743","-122,300246",Unknown,01.02.2004,18.05.2015,,web,1,6,334
20000000,20000000,1,1,0,1,01.01.2011,0,14.01.2009,14.01.2009,Unique,Successful (Acquired),0,01.01.2011,1,Medium-High (10M+),1,20000000,356,avVenta,NY,New York,10013,"40,730646","-73,986614",New York NY 10013,01.01.2005,,13.05.2017,advertising,1,10,21528
22350000,0,1,,,,,2852,04.01.2012,21.01.2010,Unique,Successful (Acquired),,,,High (50M+),4,89400001,705,Elevation Pharmaceuticals,CA,San Diego,92130,"32,962655","-117,189656",San Diego CA 92130,01.01.2007,,21.12.2018,biotech,4,2,40417
13333333,40000000,1,1,0,1,01.01.2008,2391,25.04.2007,17.02.2005,Unique,Successful (Acquired),0,01.01.2008,1,Medium-High (10M+),3,40000000,738,Solidcore Systems,CA,Cupertino,95014,"37,320309","-122,05004",Cupertino CA 95014,01.01.2002,,07.08.2017,software,3,5,42668
928571,2166666,1,3,1887,3,01.01.2006,976,02.04.2008,01.12.2006,Unique,Successful (Acquired),5,02.03.2011,3,Medium (2M+),2,6500000,652,Xoopit,CA,San Francisco,94110,"37,7617955","-122,4092704",Unknown,01.01.2004,,01.09.2016,web,7,4,3770
4000000,0,0,,,,,0,05.06.2007,05.06.2007,Unique,Failed,,,,Medium-High (10M+),1,20000000,723,Verari Systems,CA,San Diego,92121,"32,901049","-117,192656",San Diego CA 92121,01.01.1996,18.10.2016,,hardware,5,1,41968
250000,250000,1,2,452,2,07.11.2011,526,20.08.2008,01.12.2007,Unique,Successful (Acquired),2,01.02.2013,2,Small Investment (<2M),2,500000,789,FlipKey,MA,Boston,2110,"42,354023","-71,058096",Unknown,01.01.2007,,22.08.2016,web,2,7,4529
10375000,6916666,1,3,651,3,01.06.2011,122,23.08.2010,23.06.2010,Unique,Successful (Acquired),2,13.03.2013,3,Medium-High (10M+),2,20750000,866,Nimbula,CA,Mountain View,94041,"37,3965713","-122,0836937",Unknown,01.01.2008,,14.08.2017,enterprise,2,8,51239
29285,68333,1,3,1104,3,01.01.2010,0,24.03.2011,24.03.2011,Unique,Successful (Acquired),3,10.01.2013,3,Small Investment (<2M),1,205000,773,Forrst,CA,Campbell,Unknown,"37,288326","-121,945633",Campbell CA 95008-2069,25.01.2010,,07.05.2017,web,7,3,44268
18075000,0,1,,,,,736,09.05.2006,06.05.2005,Unique,Successful (Acquired),,,,High (50M+),2,72300000,565,Avidia,CA,Mountain View,94043,"37,406914","-122,09037",Mountain View CA 94043,01.01.2003,,31.07.2018,advertising,4,3,31832
5375000,0,1,,,,,0,13.12.2007,13.12.2007,Unique,Successful (Acquired),,,,Medium-High (10M+),1,21500000,722,AppTrigger,TX,Richardson,75082,"32,997114","-96,676137",Richardson TX 75082,01.01.2002,,19.12.2017,public_relations,4,1,41957
2400000,0,1,,,,,0,02.03.2005,02.03.2005,Unique,Successful (Acquired),,,,Medium-High (10M+),1,12000000,935,Arroyo Video Solutions,CA,Pleasanton,94588,"37,662431","-121,874679",Pleasanton CA 94588,01.01.2002,,19.06.2018,games_video,5,4,58237
30375000,40500000,1,3,573,3,19.01.2012,18760,02.07.2012,01.03.2005,Unique,Successful (Acquired),1,13.08.2013,3,Very High (100M+),7,121500000,1,Jumptap,MA,Boston,2210,"42,368633","-71,075305",Unknown,01.01.2005,,27.10.2016,mobile,4,45,10054
2571428,0,0,,,,,0,20.02.2007,20.02.2007,Unique,Failed,,,,Medium-High (10M+),1,18000000,724,Andigilog,AZ,Tempe,85284,"33,414414","-111,909447",Tempe AZ 85284,01.01.1996,04.02.2015,,semiconductor,7,0,42062
186667,112000,1,5,1720,5,20.07.2008,1845,06.01.2010,01.05.2008,Unique,Successful (Acquired),5,03.04.2013,5,Small Investment (<2M),3,560001,959,Pinch Media,NY,New York,10010,"40,757929","-73,985506",Unknown,01.04.2008,,28.12.2018,software,3,6,6011
5000000,15000000,1,1,0,1,01.01.2005,0,01.03.2006,01.03.2006,Unique,Successful (Acquired),0,01.01.2005,1,Medium-High (10M+),1,15000000,91,Cassatt,CA,San Jose,95110,"37,336191","-121,890583",San Jose CA 95110,01.01.2003,,07.02.2016,software,3,6,13465
275000,275000,0,1,0,1,01.04.2009,0,25.11.2010,25.11.2010,Unique,Failed,0,01.04.2009,1,Small Investment (<2M),1,275000,447,Kurani Interactive,NJ,Red Bank,7701,"40,347054","-74,064306",Red Bank NJ 7701,01.01.2000,09.03.2015,,software,1,5,25997
6760000,3380000,0,2,150,2,18.02.2010,1546,01.04.2012,18.02.2010,Unique,Failed,0,17.07.2010,2,Medium (2M+),2,6760000,726,Moonshoot,CA,Palo Alto,94303,"37,440682","-122,123103",Palo Alto CA 94303,01.01.2007,16.10.2016,,web,1,6,42112
1750000,1166666,1,3,468,3,28.11.2011,0,07.11.2011,07.11.2011,Unique,Successful (Acquired),2,11.03.2013,3,Medium (2M+),1,3500000,563,Enstratius,MN,Minneapolis,55311,"44,9773","-93,265469",Minneapolis MN 55311,01.01.2009,,05.10.2018,enterprise,2,7,31794
2685714,0,1,,,,,0,12.02.2007,12.02.2007,Unique,Successful (Acquired),,,,Medium-High (10M+),1,18800000,467,Sirific Wireless,TX,Richardson,75081,"32,945354","-96,708874",Richardson TX 75081,01.01.2000,,24.04.2019,semiconductor,7,3,26988
3480000,8700000,1,2,2406,2,01.03.2007,2439,01.01.2008,10.10.2005,Unique,Successful (Acquired),6,30.09.2013,2,Medium-High (10M+),3,17400000,202,Sensory Networks,CA,Mountain View,94043,"37,430025","-122,09998",Unknown,01.01.2003,,06.12.2015,web,5,2,16276
3000000,12000000,0,1,0,1,01.01.2001,0,07.12.2005,07.12.2005,Unique,Failed,0,01.01.2001,1,Medium-High (10M+),1,12000000,921,Sionex,MA,Bedford,1730,"42,49173","-71,281795",Bedford MA 1730,01.01.2001,04.08.2015,,hardware,4,2,56568
1666666,2500000,0,2,878,2,01.03.2005,0,01.01.2005,01.01.2005,Unique,Failed,2,27.07.2007,2,Medium (2M+),1,5000000,493,PeerMe,CA,Mountain View,94043,"37,419819","-122,090188",Unknown,01.01.2004,22.02.2016,,games_video,3,2,281
19382000,12921333,1,3,366,3,10.01.2012,9460,01.04.2012,10.10.2005,Unique,Successful (Acquired),1,10.01.2013,3,Medium-High (10M+),4,38764000,296,VirtuOz,CA,Emeryville,94608,"37,782714","-122,39358",Unknown,01.01.2002,,08.09.2015,enterprise,2,18,17983
1666666,1000000,1,5,1560,5,18.11.2008,0,01.08.2005,01.08.2005,Unique,Successful (Acquired),5,25.02.2013,5,Medium (2M+),1,5000000,421,Indeed,TX,Austin,78731,"30,321464","-97,75501",Austin TX 78731,01.11.2004,,24.07.2016,web,3,12,249
88750,473333,1,3,444,3,01.06.2009,0,25.11.2009,25.11.2009,Unique,Successful (Acquired),1,20.08.2010,3,Small Investment (<2M),1,1420000,611,Hot Potato,NY,Brooklyn,11211,"40,650104","-73,949582",Brooklyn NY 11211,01.01.2009,,17.05.2015,social,16,12,34549
45000000,15000000,0,3,810,3,01.01.2007,2097,01.12.2007,01.01.2006,Unique,Failed,2,20.03.2009,3,Medium-High (10M+),3,45000000,928,SpiralFrog,NY,New York,10014,"37,09024","-95,712891",Unknown,01.01.2004,29.11.2015,,games_video,1,8,575
13050000,0,1,,,,,0,07.01.2010,07.01.2010,Unique,Successful (Acquired),,,,Medium-High (10M+),1,26100000,683,AkaRx,NJ,Paramus,7652,"40,944543","-74,075419",Paramus NJ 7652,01.01.2005,,19.06.2018,biotech,2,1,39364
10500000,31500000,1,1,0,1,01.01.2012,2256,23.06.2011,01.06.2009,Unique,Successful (Acquired),0,01.01.2012,1,Medium-High (10M+),3,31500000,719,StorSimple,CA,Santa Clara,95054,"37,386778","-121,966277",Santa Clara CA 95054,01.01.2009,,29.11.2019,enterprise,3,19,41484
26390819,8796939,0,3,579,3,25.06.2009,18081,27.12.2012,01.12.2005,Unique,Failed,2,26.01.2011,3,Medium-High (10M+),7,26390819,986,Cozi Group,WA,Seattle,98104,"39,78373","-100,445882",Seattle WA 98104,03.03.2005,07.07.2017,,web,1,16,6340
100000,250000,1,2,800,2,24.06.2009,0,28.07.2009,28.07.2009,Unique,Successful (Acquired),2,01.09.2011,2,Small Investment (<2M),1,500000,242,BookFresh,CA,San Francisco,94105,"37,779281","-122,419236",San Francisco CA 94105,01.01.2007,,10.06.2018,web,5,7,16938
4166666,12500000,1,1,0,1,01.01.2005,0,11.01.2006,11.01.2006,Unique,Successful (Acquired),0,01.01.2005,1,Medium-High (10M+),1,12500000,535,Pure Networks,WA,Seattle,98101,"47,60732","-122,335746",Unknown,01.01.2002,,14.02.2019,network_hosting,3,5,30526
5200000,2600000,0,2,122,2,13.08.2012,1148,13.12.2012,19.05.2011,Unique,Failed,0,12.12.2012,2,Medium (2M+),2,5200000,1060,Plizy,CA,San Francisco,94108,"37,779281","-122,419236",San Francisco CA 94108,01.09.2010,26.08.2016,,photo_video,1,5,76543
6955555,31300000,1,2,1892,2,01.01.2005,14380,16.11.2009,01.01.2002,Unique,Successful (Acquired),5,08.03.2010,2,High (50M+),5,62600000,627,Teknovus,CA,Petaluma,94954,"38,232583","-122,636465",Petaluma CA 94954,01.01.2001,,05.07.2019,semiconductor,9,7,35887
9021260,6765945,1,4,620,4,01.03.2010,5832,29.12.2010,01.01.2007,Unique,Successful (Acquired),1,11.11.2011,4,Medium-High (10M+),4,27063781,545,Next New Networks,NY,New York,10010,"40,743808","-73,983626",Unknown,01.03.2007,,08.03.2015,web,3,16,3094
2470000,0,0,,,,,0,30.04.2007,30.04.2007,Unique,Failed,,,,Medium (2M+),1,7410000,766,Bioenvision,NY,New York,10154,"40,730646","-73,986614",New York NY 10154,01.01.1996,27.06.2015,,biotech,3,3,43915
5000000,5000000,0,1,0,1,01.04.2005,0,28.10.2009,28.10.2009,Unique,Failed,0,01.04.2005,1,Medium (2M+),1,5000000,693,MPOWER Mobile,TX,Austin,78701,"30,280148","-97,749908",Austin TX 78701,01.01.2005,11.05.2015,,mobile,1,1,39755
1175000,1175000,0,1,0,1,01.10.2010,470,15.06.2012,24.10.2011,Unique,Failed,0,01.10.2010,1,Small Investment (<2M),2,1175000,108,MobileReactor,PA,Philadelphia,19103,"39,952399","-75,16359",Philadelphia PA 19103,01.01.2010,30.07.2019,,software,1,2,139729
455000,0,0,,,,,62,01.09.2007,01.08.2007,Unique,Failed,,,,Small Investment (<2M),2,455000,803,EventVue,CO,Boulder,80302,"40,010492","-105,276843",Unknown,01.05.2007,19.02.2015,,public_relations,1,5,458
5000000,20000000,1,1,0,1,01.01.2006,1016,11.08.2006,21.03.2005,Unique,Successful (Acquired),0,01.01.2006,1,Medium-High (10M+),2,20000000,132,Vontu,CA,San Francisco,94111,"37,779281","-122,419236",San Francisco CA 94111,01.01.2001,,22.12.2016,software,4,9,14854
9871885,19743770,1,1,0,1,01.11.2006,5421,13.01.2010,01.02.2005,Unique,Successful (Acquired),0,01.11.2006,1,Medium-High (10M+),3,19743770,518,Kapow Software,CA,Palo Alto,94306,"37,426316","-122,141082",Unknown,01.01.2005,,21.05.2016,software,2,10,2953
3011408,1003802,1,3,18,3,15.12.2009,0,15.12.2009,15.12.2009,Unique,Successful (Acquired),1,01.01.2010,3,Medium (2M+),1,3011408,376,Servo Software,CA,San Mateo,94403,"37,552262","-122,292146",Unknown,01.01.2008,,13.02.2017,software,1,11,22726
41750000,25050000,1,5,1385,5,16.02.2010,9138,01.01.2012,31.10.2007,Unique,Successful (Acquired),3,03.12.2013,5,Very High (100M+),6,125250000,30,Tumblr,NY,New York,10016,"40,743808","-73,983626",Unknown,01.02.2007,,05.07.2017,web,3,30,1088
5575000,11150000,1,2,2236,2,01.01.2006,422,07.02.2006,11.07.2005,Unique,Successful (Acquired),6,14.02.2012,2,Medium-High (10M+),2,22300000,537,SNAPin Software,WA,Bellevue,98004,"47,614018","-122,19655",Unknown,01.01.2003,,04.02.2015,software,4,5,30537
12300000,4100000,1,3,750,3,01.01.2007,1492,16.06.2009,01.06.2007,Unique,Successful (Acquired),2,21.01.2009,3,Medium-High (10M+),2,12300000,1022,Daylife,NY,New York,10013,"40,643438","-73,886452",Unknown,01.04.2006,,29.04.2018,enterprise,1,16,703
6693782,2231260,1,3,615,3,01.02.2011,999,31.01.2011,04.03.2010,Unique,Successful (Acquired),1,09.10.2012,3,Medium (2M+),3,6693782,746,RentJuice,CA,San Francisco,94111,"37,779281","-122,419236",San Francisco CA 94111,01.01.2008,,03.11.2017,real_estate,1,7,43183
355000,355000,1,1,0,1,01.08.2012,0,01.06.2012,01.06.2012,Unique,Successful (Acquired),0,01.08.2012,1,Small Investment (<2M),1,355000,315,Behavio,CA,Sunnyvale,94087,"37,3492097","-122,0326019",Unknown,12.06.2012,,08.10.2016,software,1,3,190214
710349,1420698,1,1,0,1,26.06.2008,3204,05.05.2011,01.06.2008,Unique,Successful (Acquired),0,26.06.2008,1,Small Investment (<2M),3,1420698,1039,Instinctiv,NY,New York,10011,"40,73901","-73,997259",New York NY 10011,01.08.2007,,17.04.2019,mobile,2,5,7329
2250000,9000000,1,1,0,1,01.10.2009,334,15.11.2005,01.06.2005,Unique,Successful (Acquired),0,01.10.2009,1,Medium (2M+),2,9000000,639,Game Trust,NY,New York,10011,"40,73901","-73,997259",New York NY 10011,01.01.2002,,16.11.2016,software,4,3,3686
7050000,3525000,1,4,456,4,06.02.2012,4380,01.12.2011,01.12.2008,Unique,Successful (Acquired),1,07.05.2013,4,Medium-High (10M+),4,14100000,66,"Wildfire, a division of Google",CA,Redwood City,94063,"37,445667","-122,166911",Unknown,01.07.2008,,31.03.2015,enterprise,2,19,12348
1310000,327500,1,4,2372,4,01.02.2007,3594,27.04.2012,15.01.2009,Unique,Successful (Acquired),6,01.08.2013,4,Small Investment (<2M),3,1310000,862,PayDivvy,CA,Irvine,92612,"33,685697","-117,825982",Irvine CA 92612,06.03.2009,,05.02.2017,social,1,3,51021
9550000,3183333,1,6,882,6,12.12.2008,7312,01.01.2009,31.12.2003,Unique,Successful (Acquired),3,15.05.2011,6,Medium-High (10M+),4,19100000,377,Where,MA,Boston,2114,"42,360253","-71,058291",Boston MA 2114,01.01.2004,,18.02.2018,mobile,2,23,2275
5862800,5862800,1,2,1100,2,01.01.2009,1224,08.05.2008,04.09.2006,Unique,Successful (Acquired),3,05.01.2012,2,Medium-High (10M+),2,11725600,383,Miyowa,CA,San Francisco,94105,"37,779281","-122,419236",San Francisco CA 94105,14.04.2003,,22.11.2016,mobile,2,3,23098
1750000,1750000,1,2,354,2,13.05.2011,850,01.03.2009,01.01.2008,Unique,Successful (Acquired),1,01.05.2012,2,Medium (2M+),2,3500000,614,Mytopia,CA,Palo Alto,94301,"34,007967","-118,489681",Unknown,01.01.2007,,22.01.2015,games_video,2,10,3487
5000000,25000000,1,1,0,1,01.02.2002,0,25.01.2006,25.01.2006,Unique,Successful (Acquired),0,01.02.2002,1,Medium-High (10M+),1,25000000,829,Airwide Solutions,MA,Burlington,1803,"42,504817","-71,195611",Burlington MA 1803,01.01.2004,,25.12.2016,software,5,3,47601
72000000,72000000,0,1,0,1,01.01.2008,5380,06.11.2007,01.03.2004,Unique,Failed,0,01.01.2008,1,High (50M+),4,72000000,607,Innovative Silicon,CA,Santa Clara,95054,"37,386778","-121,966277",Santa Clara CA 95054,01.01.2002,04.12.2015,,other,1,3,34401
8010000,8010000,1,3,1521,3,05.10.2008,3699,21.03.2012,04.11.2008,Unique,Successful (Acquired),4,04.12.2012,3,Medium-High (10M+),3,24030000,1116,Buysight,CA,Palo Alto,94306,"37,425359","-122,1389633",Unknown,01.01.2008,,05.11.2015,advertising,3,18,8676
6000000,3000000,0,2,606,2,04.12.2006,0,01.04.2007,01.04.2007,Unique,Failed,2,01.08.2008,2,Medium (2M+),1,6000000,268,bluepulse,CA,San Mateo,94401,"37,563905","-122,324688",Unknown,10.04.1990,23.10.2015,,network_hosting,1,7,1753
1250000,833333,1,3,984,3,01.03.2008,0,20.10.2010,20.10.2010,Unique,Successful (Acquired),2,09.11.2010,3,Medium (2M+),1,2500000,583,Goby,MA,Boston,2111,"42,360253","-71,058291",Boston MA 2111,01.07.2008,,12.10.2019,search,2,4,32383
911461,607640,1,3,1512,3,11.05.2009,2718,26.05.2011,01.12.2008,Unique,Successful (Acquired),4,01.07.2013,3,Small Investment (<2M),3,1822922,378,Fotomoto,CA,San Francisco,94107,"37,7795014","-122,3948712",Unknown,01.10.2008,,25.12.2014,ecommerce,2,10,22856
2600000,2600000,0,1,0,1,01.01.2008,0,01.09.2008,01.09.2008,Unique,Failed,0,01.01.2008,1,Medium (2M+),1,2600000,616,Devtap,CA,Menlo Park,94025,"39,78373","-100,445882",Menlo Park CA 94025,01.01.2008,10.07.2018,,search,1,2,35148
200000,0,0,,,,,0,09.08.2005,09.08.2005,Unique,Failed,,,,Small Investment (<2M),1,200000,898,Invicta Networks,VA,Vienna,22182,"38,901301","-77,265158",Vienna VA 22182,01.01.1999,24.02.2015,,public_relations,1,0,54177
6175000,4940000,1,5,2120,5,01.08.2007,0,01.03.2006,01.03.2006,Unique,Successful (Acquired),6,21.05.2013,5,Medium-High (10M+),2,24700000,327,Visible Path,CA,Foster City,94404,"37,55818","-122,276454",Unknown,01.01.2002,,26.11.2018,web,4,5,196
3250000,1083333,1,3,648,3,01.01.2010,342,21.10.2010,03.05.2010,Unique,Successful (Acquired),1,12.10.2011,3,Medium (2M+),2,3250000,816,Off & Away,WA,Seattle,98104,"39,78373","-100,445882",Seattle WA 98104,01.12.2009,,23.10.2018,travel,1,3,46835
6500000,0,0,,,,,0,22.03.2005,22.03.2005,Unique,Failed,,,,Medium-High (10M+),1,26000000,888,TelASIC Communications,CA,El Segundo,90245,"33,923916","-118,39665",El Segundo CA 90245,01.01.2001,11.08.2018,,public_relations,4,4,53471
325000,325000,1,4,1236,4,01.07.2008,0,23.07.2008,23.07.2008,Unique,Successful (Acquired),3,17.11.2011,4,Small Investment (<2M),1,1300000,81,DocVerse,CA,San Francisco,94105,"37,788115","-122,397141",Unknown,01.09.2007,,03.10.2016,web,4,8,13046
19000,19000,0,1,0,1,19.04.2012,0,19.04.2012,19.04.2012,Unique,Failed,0,19.04.2012,1,Small Investment (<2M),1,19000,160,Nalace Corporation,GA,Lawrenceville,30043,"33,956215","-83,987962",Lawrenceville GA 30043,01.01.2012,02.07.2018,,ecommerce,1,1,155821
5750000,5750000,1,2,836,2,03.02.2009,0,01.02.2005,01.02.2005,Unique,Successful (Acquired),2,20.05.2011,2,Medium-High (10M+),1,11500000,838,BlueLithium,CA,San Jose,95128,"37,32052","-121,948399",Unknown,01.01.2004,,08.06.2018,advertising,2,15,487
12688190,19032285,1,2,2658,2,01.01.2005,8660,11.04.2012,08.05.2006,Unique,Successful (Acquired),7,12.04.2012,2,Medium-High (10M+),4,38064570,670,41st Parameter,CA,San Jose,95128,"37,314002","-121,932365",San Jose CA 95128,01.01.2004,,23.02.2019,security,3,16,38338
1500000,500000,1,3,765,3,26.08.2009,0,26.08.2009,26.08.2009,Unique,Successful (Acquired),2,01.10.2011,3,Small Investment (<2M),1,1500000,338,RightsFlow,NY,New York,10011,"40,73901","-73,997259",New York NY 10011,01.10.2007,,11.06.2018,music,1,13,20146
7000000,14000000,1,1,0,1,01.08.2010,1264,17.06.2010,23.09.2008,Unique,Successful (Acquired),0,01.08.2010,1,Medium-High (10M+),2,14000000,502,Recurve,CA,San Francisco,94104,"37,777741","-122,412198",Unknown,01.08.2005,,19.11.2015,software,2,5,28428
16450000,65800000,1,1,0,1,01.01.2008,3153,18.04.2008,02.06.2005,Unique,Successful (Acquired),0,01.01.2008,1,High (50M+),3,65800000,193,ONStor,CA,Campbell,95008,"37,2690782","-121,9559995",Unknown,01.01.2000,,18.05.2017,network_hosting,4,6,16181
14000000,14000000,1,2,1570,2,01.08.2006,3102,30.09.2009,01.12.2006,Unique,Successful (Acquired),4,18.11.2010,2,Medium-High (10M+),3,28000000,93,Blackwave,MA,Acton,1720,"42,49739","-71,416794",Unknown,01.01.2006,,30.04.2018,network_hosting,2,14,1350
1666666,5000000,1,2,304,2,04.02.2013,0,23.08.2011,23.08.2011,Unique,Successful (Acquired),0,04.12.2013,2,Medium-High (10M+),1,10000000,896,MakerBot,NY,Brooklyn,11217,"40,650104","-73,949582",Brooklyn NY 11217,01.01.2009,,18.06.2015,hardware,6,6,54077
29500000,19666666,1,3,1788,3,01.01.2006,7782,07.02.2007,01.01.2000,Unique,Successful (Acquired),4,24.11.2010,3,High (50M+),3,59000000,163,Anystream,VA,Dulles,20166,"39,035298","-77,430125",Unknown,01.01.2000,,19.03.2019,software,2,9,15652
13130000,13130000,0,1,0,1,01.01.2007,6815,21.12.2010,29.03.2007,Unique,Failed,0,01.01.2007,1,Medium-High (10M+),5,13130000,1091,neoSaej,MA,Burlington,1803,"42,485691","-71,19862",Unknown,01.01.2006,02.08.2015,,web,1,1,8251
4750000,4750000,1,2,236,2,01.01.2009,1358,10.10.2008,01.12.2006,Unique,Successful (Acquired),0,24.08.2009,2,Medium (2M+),2,9500000,370,TwoFish,CA,Redwood City,94065,"37,522281","-122,258139",Unknown,01.01.2006,,02.08.2017,ecommerce,2,6,2234
10000003,5000001,1,2,698,2,01.01.2009,6335,21.06.2012,01.01.2009,Unique,Successful (Acquired),1,30.11.2010,2,Medium-High (10M+),5,10000003,975,Standing Cloud,CO,Boulder,80302,"40,011355","-105,274166",Boulder CO 80302,01.01.2009,,11.04.2015,enterprise,1,4,61783
1400000,700000,1,2,490,2,01.10.2008,3102,01.07.2010,01.09.2007,Unique,Successful (Acquired),2,02.02.2010,2,Small Investment (<2M),3,1400000,331,Codesion,CA,Palo Alto,94301,"37,441537","-122,158332",Palo Alto CA 94301,01.01.2002,,22.11.2016,software,1,4,19725
626096,208698,0,3,834,3,01.09.2011,2638,12.08.2011,01.01.2008,Unique,Failed,2,12.12.2013,3,Small Investment (<2M),2,626096,114,Peek & Co,NY,New York,10011,"40,73901","-73,997259",New York NY 10011,01.11.2007,27.04.2018,,mobile,1,6,14345
3829895,5744843,1,2,116,2,08.09.2008,1851,09.09.2008,01.01.2007,Unique,Successful (Acquired),1,01.01.2009,2,Medium-High (10M+),3,11489687,492,Sportgenic,CA,San Francisco,94104,"37,790485","-122,40094",Unknown,01.09.2005,,20.05.2018,advertising,3,9,2808
3200000,4800000,1,2,832,2,01.12.2010,1898,13.07.2012,07.12.2009,Unique,Successful (Acquired),3,12.03.2013,2,Medium (2M+),2,9600000,947,Appature,WA,Seattle,98104,"39,78373","-100,445882",Seattle WA 98104,01.01.2007,,05.12.2017,enterprise,3,6,59187
500000,0,0,,,,,0,01.08.2010,01.08.2010,Unique,Failed,,,,Small Investment (<2M),1,500000,999,Help Me Rent Magazine,CA,Hollywood,90028,"34,102827","-118,32999",Hollywood CA 90028,01.01.2010,22.01.2018,,real_estate,1,13,65601
7500000,15000000,0,1,0,1,01.01.2007,1722,10.10.2007,01.06.2005,Unique,Failed,0,01.01.2007,1,Medium-High (10M+),2,15000000,739,Octavian,MA,Woburn,1801,"42,479262","-71,152277",Woburn MA 1801,01.01.2003,22.02.2019,,software,2,2,42672
3000000,3000000,1,1,0,1,24.10.2011,0,30.06.2010,30.06.2010,Unique,Successful (Acquired),0,24.10.2011,1,Medium (2M+),1,3000000,965,Particle Code,CA,Palo Alto,Unknown,"37,445586","-122,161929",Palo Alto CA 94301-1705,01.05.2010,,11.06.2018,software,1,3,60457
8333333,8333333,1,3,4809,3,01.01.2000,3768,01.09.2007,01.02.2005,Unique,Successful (Acquired),13,03.03.2013,3,Medium-High (10M+),4,25000000,25,MeeVee,CA,Burlingame,94010,"37,590339","-122,341715",Unknown,01.07.2000,,29.09.2016,games_video,3,7,107
9000000,9000000,1,1,0,1,01.10.2008,1132,14.04.2010,25.09.2008,Unique,Successful (Acquired),0,01.10.2008,1,Medium (2M+),2,9000000,46,Cramster,CA,Pasadena,91101,"34,147047","-118,148896",Unknown,01.01.2002,,19.08.2016,web,1,5,11507
9125000,18250000,1,1,0,1,01.01.2006,546,06.09.2006,07.12.2005,Unique,Successful (Acquired),0,01.01.2006,1,Medium-High (10M+),2,18250000,85,Trovix,CA,Mountain View,94043,"37,420428","-122,090769",Unknown,01.01.2002,,04.03.2017,search,2,3,13168
17500000,17500000,1,2,768,2,24.07.2009,1324,24.07.2009,01.10.2007,Unique,Successful (Acquired),2,31.08.2011,2,Medium-High (10M+),2,35000000,190,Schooner Information Technology,CA,Sunnyvale,94085,"37,477037","-122,15164",Unknown,01.05.2007,,20.12.2014,enterprise,2,8,16145
11000000,6600000,1,5,1420,5,18.01.2010,7012,17.02.2011,01.05.2006,Unique,Successful (Acquired),3,10.12.2013,5,Medium-High (10M+),4,33000000,65,Vitrue,GA,Atlanta,30303,"33,756806","-84,392198",Unknown,01.05.2006,,03.10.2019,enterprise,3,26,1234
7500000,30000000,1,1,0,1,01.01.2004,0,20.06.2005,20.06.2005,Unique,Successful (Acquired),0,01.01.2004,1,Medium-High (10M+),1,30000000,359,Level 5 Networks,CA,Sunnyvale,94086,"37,36883","-122,03635",Sunnyvale CA 94086,01.01.2002,,02.12.2015,semiconductor,4,3,21654
8800000,4400000,1,2,1612,2,01.01.2007,639,31.12.2001,01.06.2001,Unique,Successful (Acquired),4,01.06.2011,2,Medium (2M+),3,8800000,410,SnapNames,OR,Portland,97201,"45,520247","-122,674195",Portland OR 97201,01.01.2000,,19.10.2017,network_hosting,1,3,2434
9400000,3133333,1,3,1278,3,16.11.2008,0,27.07.2006,27.07.2006,Unique,Successful (Acquired),4,17.05.2012,3,Medium (2M+),1,9400000,519,PI Corporation,WA,Seattle,98104,"47,602416","-122,332614",Unknown,01.01.2003,,17.07.2018,network_hosting,1,2,2955
